site,date,date_basis,section,source,title,url
google-sites,2026-06-15,listed on the old site,effects,Gizmodo,‘This Is Absolutely Crazy’: Antarctic Temperatures Hit a Record High This Month,https://gizmodo.com/this-is-absolutely-crazy-antarctic-temperatures-hit-a-record-high-this-month-2000771232
google-sites,2026-06-05,listed on the old site,causes,EuroNews,"Gender emissions gap: Rich white men’s jobs, diets and hobbies found to be ‘bad for the planet’",https://www.euronews.com/2026/05/06/gender-emissions-gap-rich-white-mens-jobs-diets-and-hobbies-found-to-be-bad-for-the-planet
google-sites,2026-06-05,listed on the old site,effects,Earth.com,Hail risk is shifting toward major farming regions as the climate warms,https://www.earth.com/news/hail-risk-is-shifting-toward-major-farming-regions-as-the-climate-warms/
google-sites,2026-06-05,listed on the old site,effects,Earth.com,Hail risk is shifting toward major farming regions as the climate warms,http://earth.com
google-sites,2026-06-04,listed on the old site,effects,NewScientist,Mysterious ‘cold blob’ in the Atlantic suggests the AMOC is weakening,https://www.newscientist.com/article/2529078-mysterious-cold-blob-in-the-atlantic-suggests-the-amoc-is-weakening/
google-sites,2026-06-01,listed on the old site,causes,NYTimes,Trump Administration to Dismantle Ocean Monitoring System,https://www.nytimes.com/2026/06/01/climate/ocean-observatories-initiative.html?searchResultPosition=1
google-sites,2026-06-01,listed on the old site,other,Time,"What to Know About Rubisco, the Most Abundant Protein on Earth",https://time.com/article/2026/06/01/what-is-rubisco-abundant-protein-earth/
google-sites,2026-05-31,listed on the old site,effects,BBCWildlife,Siberia’s ‘Gateway to Hell’ is getting bigger. And it’s spewing out prehistoric animals,https://www.discoverwildlife.com/environment/batagay-crater-gateway-to-hell
google-sites,2026-05-28,listed on the old site,effects,AP,"Think it’s hot now? The next five years will smash records, UN says",https://apnews.com/article/climate-change-warming-heat-wave-record-future-53d79525a06f09d9ace45a141dbebb01
google-sites,2026-05-14,listed on the old site,solutions,AP,Trump administration aims to roll back limits on toxic wastewater from coal-fired power plants,https://apnews.com/article/trump-coal-wastewater-epa-artificial-intelligence-5889bbddc821275731eabb6687ba9e6e
google-sites,2026-05-13,listed on the old site,effects,Gizmodo,Worst-Case Scenarios for El Niño Are Literally Off the Charts,https://gizmodo.com/worst-case-scenarios-for-el-nino-are-literally-off-the-charts-2000758126
google-sites,2026-05-08,listed on the old site,effects,NewScientist,There has been a sudden increase in the rate of sea level rise,https://www.newscientist.com/article/2525773-there-has-been-a-sudden-increase-in-the-rate-of-sea-level-rise/
google-sites,2026-05-07,listed on the old site,effects,Grist,Close calls at Michigan’s dams are a climate warning to America,https://grist.org/extreme-weather/close-calls-at-michigans-dams-are-a-climate-warning-to-america/
google-sites,2026-05-07,listed on the old site,effects,Yale360,Why Fears Are Growing Over the Fate of a Key Atlantic Current,https://e360.yale.edu/features/amoc-climate-change
google-sites,2026-05-06,listed on the old site,solutions,Euronews,Sweden generates 99% of electricity from clean sources. So why is wind power under attack?,https://www.euronews.com/2026/05/06/sweden-generates-99-of-electricity-from-clean-sources-so-why-is-wind-power-under-attack
google-sites,2026-05-04,listed on the old site,effects,Guardian,"‘Point of no return’: New Orleans relocation must start now due to sea level, study finds",https://www.theguardian.com/us-news/2026/may/04/new-orleans-sea-levels-relocation-climate-crisis?CMP=oth_b-aplnews_d-1
google-sites,2026-04-30,listed on the old site,other,Nation.,A Climate Change Novel That Questions Everything,https://www.thenation.com/article/culture/jon-raymond-god-sex-review/
google-sites,2026-04-30,listed on the old site,solutions,Guardian,‘Historic breakthrough’: Colombia climate talks end with hopes raised for fossil fuel phaseout,https://www.theguardian.com/environment/2026/apr/30/colombia-climate-talks-end-fossil-fuel-phaseout?CMP=oth_b-aplnews_d-1
google-sites,2026-04-29,listed on the old site,other,Guardian,"‘Suicidal’ model of capitalism leading to war and fascism, climate summit told",https://www.theguardian.com/environment/2026/apr/29/capitalism-colombia-climate-summit-gustavo-petro?CMP=oth_b-aplnews_d-1
google-sites,2026-04-27,listed on the old site,other,NYTimes,The Prepper Delusion,https://www.nytimes.com/2026/04/27/opinion/the-prepper-delusion.html
google-sites,2026-04-26,listed on the old site,effects,ScienceDaily,Panama’s ocean lifeline vanishes for the first time in 40 years,https://www.sciencedaily.com/releases/2026/04/260426012253.htm
google-sites,2026-04-25,listed on the old site,other,Time,A New Generation of Climate Leaders Is Our Last Hope,https://time.com/article/2026/04/24/a-new-generation-of-climate-leaders-are-our-last-hope/
google-sites,2026-04-25,listed on the old site,effects,InsideClimateNews,The Next El Niño Could Lock Earth Into a Hotter Climate,https://insideclimatenews.org/news/25042026/el-nino-earth-warming/
google-sites,2026-04-24,listed on the old site,effects,Guardian,What is a ‘super El Niño’ and what might it mean for the global climate?,https://www.theguardian.com/environment/2026/apr/23/down-to-earth-super-el-nino-extreme-weather?CMP=oth_b-aplnews_d-1
google-sites,2026-04-24,listed on the old site,effects,Earth.com,"Wildfires no longer 'sleep' at night, and it’s making them harder to stop",https://www.earth.com/news/wildfires-no-longer-sleep-at-night-and-its-making-them-harder-to-stop/
google-sites,2026-04-23,listed on the old site,other,Guardian,A catastrophic climate event is upon us. Here is why you’ve heard so little about it,https://www.theguardian.com/commentisfree/2026/apr/23/catastrophic-climate-event-scientists-atlantic-system-collapse-billionaire-existential-crisis?CMP=oth_b-aplnews_d-1
google-sites,2026-04-23,listed on the old site,other,Reuters,Explainer: How El Nino could impact the world's weather in 2026/27,https://www.reuters.com/business/environment/how-el-nino-could-impact-worlds-weather-202627-2026-04-24/
google-sites,2026-04-23,listed on the old site,effects,Street,JPMorgan has a stark message on climate change,https://www.thestreet.com/investing/jpmorgan-has-stark-message-on-climate-change-tipping-points
google-sites,2026-04-23,listed on the old site,effects,USAToday,2 studies warn 'Day After Tomorrow' ocean current is in trouble,https://www.usatoday.com/story/news/weather/2026/04/23/studies-warn-amoc-ocean-current-in-trouble/89720003007/
google-sites,2026-04-22,listed on the old site,other,HollywoodReporter,Al Gore Isn’t Worried Trump Is Killing the Climate,https://www.hollywoodreporter.com/movies/movie-features/al-gore-interview-climate-change-trump-inconvenient-truth-1236565723/
google-sites,2026-04-22,listed on the old site,effects,Guardian,Wildfires burning across Georgia and Florida destroy homes and force evacuations,https://www.theguardian.com/us-news/2026/apr/22/georgia-florida-wildfires?CMP=oth_b-aplnews_d-1
google-sites,2026-04-21,listed on the old site,solutions,Anthropocene,"An AI trained on 13,000 virtual worlds just projected our renewable energy future",https://www.anthropocenemagazine.org/2026/04/an-ai-trained-on-13000-virtual-worlds-just-projected-our-renewable-energy-future/
google-sites,2026-04-21,listed on the old site,solutions,ArsTechnia,Global growth in solar “the largest ever observed for any source”,https://arstechnica.com/science/2026/04/global-growth-in-solar-the-largest-ever-observed-for-any-source/
google-sites,2026-04-21,listed on the old site,effects,LiveScience,'Nations need to prepare now': Key Atlantic ocean current is much closer to collapse than scientists thought,https://www.livescience.com/planet-earth/climate-change/nations-need-to-prepare-now-key-atlantic-ocean-current-is-much-closer-to-collapse-than-scientists-thought
google-sites,2026-04-21,listed on the old site,effects,Phys.org,"Simple ocean-based model forecasts a powerful El Niño, over 2 °C warmer than normal",https://phys.org/news/2026-04-simple-ocean-based-powerful-el.html#google_vignette
google-sites,2026-04-21,listed on the old site,effects,Phys.org,"Simple ocean-based model forecasts a powerful El Niño, over 2 °C warmer than normal",http://phys.org
google-sites,2026-04-20,listed on the old site,effects,Slate,Who Killed the Florida Orange?,https://slate.com/business/2026/04/florida-state-orange-food-houses-real-estate.html
google-sites,2026-04-18,listed on the old site,solutions,EuroNews,Too hot for solar and too much wind for turbines: Can renewables withstand our worsening climate?,https://www.euronews.com/2026/04/19/too-hot-for-solar-and-too-much-wind-for-turbines-can-renewables-withstand-our-worsening-cl
google-sites,2026-04-17,listed on the old site,other,Grist,Ask a Climate Therapist: Apocalypse when?,https://grist.org/looking-forward/ask-a-climate-therapist-apocalypse-when/
google-sites,2026-04-16,listed on the old site,effects,Gizmodo,A Critical Ocean Current System May Be Unraveling Faster Than We Thought,https://gizmodo.com/a-critical-ocean-current-system-may-be-unraveling-faster-than-we-thought-2000747593
google-sites,2026-04-16,listed on the old site,effects,Gizmodo,Iceland Just Got Its First Mosquitoes. Scientists Aren’t Ready for What Comes Next,https://gizmodo.com/iceland-just-got-its-first-mosquitoes-scientists-arent-ready-for-what-comes-next-2000747401
google-sites,2026-04-16,listed on the old site,causes,MotherJones,Inside That Weird Anti-Science Conference Where Trump’s EPA Chief Delivered the Keynote,https://www.motherjones.com/politics/2026/04/heartland-institute-anti-science-conference-climate-deniers-epa-administrator-lee-zeldin-keynote-speech/
google-sites,2026-04-13,listed on the old site,effects,NewScientist,Collapse of key ocean current may release billions of tonnes of carbon,https://www.newscientist.com/article/2522765-collapse-of-key-ocean-current-may-release-billions-of-tonnes-of-carbon/
google-sites,2026-04-10,listed on the old site,effects,National Geographic,What a ‘super’ El Niño means for the planet,https://www.nationalgeographic.com/environment/article/super-el-nino-extreme-weather-climate
google-sites,2026-04-09,listed on the old site,causes,NYTimes,Climate Denial Comes to Washington,https://www.nytimes.com/2026/04/09/climate/climate-denial-comes-to-washington.html?unlocked_article_code=1.aFA.tLvu.71iZHtWYeWJu&smid=nytcore-ios-share
google-sites,2026-04-09,listed on the old site,effects,USAToday,Super El Niño? Forecasters announce major climate shift,https://www.usatoday.com/story/news/weather/2026/04/09/el-nino-climate-shift-la-nina/89514873007/
google-sites,2026-04-09,listed on the old site,causes,MotherJones,Trump’s EPA Chief Delivers the Keynote at a Conference of Climate Change Deniers,https://www.motherjones.com/politics/2026/04/trump-epa-administrator-lee-zeldin-delivers-keynote-heartland-institute-conference-climate-change-deniers/
google-sites,2026-04-08,listed on the old site,effects,Guardian,"‘Non-survivable’: heatwaves are already breaching human limits, with worse to come, study finds",https://www.theguardian.com/environment/2026/apr/08/extreme-weather-heatwaves-breaching-human-survival-limits-study-finds?CMP=oth_b-aplnews_d-1
google-sites,2026-04-08,listed on the old site,effects,DiscoverWildlife,Satellite images reveal hidden cause of melting glaciers in Greenland,https://www.discoverwildlife.com/environment/ice-marginal-lakes-greenland
google-sites,2026-04-08,listed on the old site,other,Grist,What to expect when you’re expecting the end of the world,https://grist.org/culture/jem-bendell-society-collapse-deep-adaptation-doom/
google-sites,2026-04-07,listed on the old site,solutions,Nation,A New Economic Superpower Could Spark a Retreat From Fossil Fuels,https://www.thenation.com/article/environment/just-transition-away-fossil-fuels-conference/
google-sites,2026-04-07,listed on the old site,other,Conversation,Earthrise to Earthset: how the planet’s climate has changed since the photo that inspired the environmental movement,https://theconversation.com/earthrise-to-earthset-how-the-planets-climate-has-changed-since-the-photo-that-inspired-the-environmental-movement-279818
google-sites,2026-04-07,listed on the old site,causes,ProPublica,“Economic Civil War”: States Push Laws to Shield Oil and Gas Companies From Accountability,https://www.propublica.org/article/climate-change-alec-leonard-leo-lawsuits-fossil-fuel-oil-gas-immunity
google-sites,2026-04-07,listed on the old site,other,Earth.com,Powerful ocean current changed Earth’s climate - but it didn’t act alone,https://www.earth.com/news/powerful-ocean-current-changed-earths-climate-but-it-didnt-act-alone/
google-sites,2026-04-05,listed on the old site,solutions,InsideClimateNews,"As Vermont Defends Its Law to Make Fossil Fuel Firms Pay for Climate Adaptation, the Bill Is Already Coming Due",https://insideclimatenews.org/news/05042026/vermont-defends-climate-superfund-law/
google-sites,2026-04-05,listed on the old site,solutions,Politico,Florida communities with highest climate change risk face new Tallahassee hurdles,https://www.politico.com/news/2026/04/05/florida-communities-with-highest-climate-change-risk-face-new-tallahassee-hurdles-00858235?cid=apn
google-sites,2026-04-04,listed on the old site,effects,Guardian,Record high ocean temperatures off southern California raise fears of prolonged marine heatwave,https://www.theguardian.com/us-news/2026/apr/04/high-ocean-temperatures-california-marine-heatwave
google-sites,2026-04-04,listed on the old site,effects,Earth.com,"Scientists warn the Gulf Stream is shifting north, which means an ocean current collapse is imminent",https://www.earth.com/news/gulf-stream-shifting-north-raising-concerns-about-amoc-ocean-current-collapse/
google-sites,2026-04-04,listed on the old site,other,Hill,The US should shape the global climate adaptation market,https://thehill.com/opinion/energy-environment/5814681-climate-adaptation-investment-gap/
google-sites,2026-04-03,listed on the old site,effects,Newsweek,Experts Warn Severe Change To Weather Coming: ‘Risky Conditions’,https://www.newsweek.com/experts-warn-record-breaking-heat-summer-2026-11776002
google-sites,2026-04-01,listed on the old site,effects,ScientificAmerica,The Alaskan permafrost is thawing. Here’s why that’s so worrying,https://www.scientificamerican.com/article/the-alaskan-permafrost-is-thawing-heres-why-thats-so-worrying/
google-sites,2026-04-01,listed on the old site,effects,LiveScience,"Extreme wildfires, droughts and storms could happen even under moderate global warming, study finds",https://www.livescience.com/planet-earth/climate-change/extreme-wildfires-droughts-and-storms-could-happen-even-under-moderate-global-warming-study-finds
google-sites,2026-03-31,listed on the old site,effects,Grist,Oceans are absorbing the Earth’s excess energy. That’s bad news for food systems,https://grist.org/food-and-agriculture/oceans-are-absorbing-the-earths-excess-energy-thats-bad-news-for-food-systems/
google-sites,2026-03-31,listed on the old site,solutions,Reuters,Renewables grew to almost 50% of global electricity capacity in 2025 after solar boost,https://www.reuters.com/business/energy/renewables-grew-almost-50-global-electricity-capacity-2025-after-solar-boost-2026-03-31/
google-sites,2026-03-31,listed on the old site,solutions,VemontPublic,Vermont defends its landmark climate superfund law against Trump administration lawsuit,https://www.vermontpublic.org/local-news/2026-03-31/vermont-defends-its-landmark-climate-superfund-law-against-trump-administration-lawsuit
google-sites,2026-03-31,listed on the old site,other,Vice,Why It Looked Like the Apocalypse Came to Australia Last Week,https://www.vice.com/en/article/why-it-looked-like-the-apocalypse-came-to-australia-last-week/
google-sites,2026-03-27,listed on the old site,causes,AP,"AI’s arrival complicates Big Tech climate goals, and some worry it’s locking in more fossil fuels",https://apnews.com/article/technology-artificial-intelligence-climate-change-data-centers-ef3a9c264bd6376d77e2c81ab266fb38
google-sites,2026-03-25,listed on the old site,causes,MotherJones,Trump Officials Claim They Gutted This $400 Billion Climate Program. They Didn’t,https://www.motherjones.com/politics/2026/03/trump-energy-department-climate-loan-program-biden-ira/
google-sites,2026-03-23,listed on the old site,effects,WashingtonPost,Where summer-like heat has shattered records — and where it will spread next,https://www.washingtonpost.com/weather/2026/03/23/west-record-heat-spreads-plains-midwest/
google-sites,2026-03-23,listed on the old site,effects,Guardian,Earth being ‘pushed beyond its limits’ as energy imbalance reaches record high,https://www.theguardian.com/environment/2026/mar/23/earth-being-pushed-beyond-its-limits-as-energy-imbalance-reaches-record-high?CMP=oth_b-aplnews_d-1
google-sites,2026-03-22,listed on the old site,effects,NYTimes,"The Balance That Keeps Climate Stable Is Out of Whack, U.N. Report Finds",https://www.nytimes.com/2026/03/22/climate/energy-imbalance-un-report.html
google-sites,2026-03-22,listed on the old site,effects,NBC,The West's record-shattering heat wave isn't over as heat dome shifts into the Plains,https://www.nbcnews.com/weather/heat/blistering-heat-wave-across-western-us-rcna264506
google-sites,2026-03-22,listed on the old site,effects,Gaurdian,"Weather extremes gripping US bear climate crisis ‘fingerprint’, experts say",https://www.theguardian.com/us-news/2026/mar/22/climate-crisis-march-extreme-weather?CMP=oth_b-aplnews_d-1
google-sites,2026-03-20,listed on the old site,effects,Newsweek,California Heat Wave Fuels ‘Nonstop’ Atmospheric River,https://www.newsweek.com/california-heat-wave-fuels-nonstop-atmospheric-river-11711052
google-sites,2026-03-20,listed on the old site,effects,arsTechnica,The US is looking at a year of chaotic weather,https://arstechnica.com/science/2026/03/the-us-is-looking-at-a-year-of-chaotic-weather/
google-sites,2026-03-19,listed on the old site,other,Nation,The Silencing Power of Big Oil’s Climate Lies,https://www.thenation.com/article/environment/the-silencing-power-of-big-oils-climate-lies/
google-sites,2026-03-19,listed on the old site,other,Atlantic,There’s No Way the American West Will Have a Normal Summer,https://www.theatlantic.com/science/2026/03/west-heat-wave/686457/?utm_source=apple_news
google-sites,2026-03-19,listed on the old site,effects,AccuWeather,"Western heat wave shatters March records, to expand with more extremes",https://www.accuweather.com/en/weather-forecasts/western-heat-wave-shatters-march-records-to-expand-with-more-extremes/1874857
google-sites,2026-03-19,listed on the old site,other,InsideClimateNews,Wondering How to Talk About Climate Change? Take a Lesson from Bad Bunny,https://insideclimatenews.org/news/19032026/climate-change-communication-bad-bunny-halftime-show/
google-sites,2026-03-17,listed on the old site,solutions,WSJ,China Has Five-Minute EV Charging. America Is Trying to Catch Up,https://www.wsj.com/business/autos/china-has-five-minute-ev-charging-america-is-trying-to-catch-up-ef7d707a
google-sites,2026-03-17,listed on the old site,effects,SanFranChronicle,It’s still winter. So why is California facing 100-degree heat?,https://www.sfchronicle.com/weather/article/california-heat-wave-science-22079635.php
google-sites,2026-03-17,listed on the old site,other,USAToday,NOAA forecast this decades ago. We have to adapt to survive it. | Opinion,https://www.usatoday.com/story/opinion/2026/03/17/noaa-weather-forecasts-climate-science-doge-cuts/88984244007/
google-sites,2026-03-16,listed on the old site,causes,NewScientist,Why global warming is accelerating and what it means for the future,https://www.newscientist.com/article/2519386-why-global-warming-is-accelerating-and-what-it-means-for-the-future/
google-sites,2026-03-14,listed on the old site,solutions,Earth.com,Stopping climate damage may require centuries of carbon removal,https://www.earth.com/news/stopping-climate-damage-may-require-centuries-of-carbon-removal/
google-sites,2026-03-13,listed on the old site,effects,BBC,"Austrian glaciers disintegrating due to climate change, say scientists",https://www.bbc.com/news/articles/cd038pgrr1yo
google-sites,2026-03-12,listed on the old site,effects,FastCompany,Extreme March heat wave will scorch Los Angeles and the Southwest this week. The long-term consequences could be devastating,https://www.fastcompany.com/91507309/extreme-march-heat-wave-scorch-la-ca-co-az-this-week
google-sites,2026-03-09,listed on the old site,effects,Euronews,"Dangerous droughts triggered by heatwaves are accelerating at an alarming rate, study shows",https://www.euronews.com/2026/03/09/dangerous-droughts-triggered-by-heatwaves-are-accelerating-at-an-alarming-rate-study-shows
google-sites,2026-03-09,listed on the old site,effects,NPR,Millions more people are in the path of rising seas than previously thought,https://www.npr.org/2026/03/09/nx-s1-5741796/rising-seas-climate-change-study
google-sites,2026-03-09,listed on the old site,solutions,Grist,The US barely bothers to track geoengineering. What could go wrong?,https://grist.org/regulation/geoengineering-noaa-cloud-seeding-gao-oversight/
google-sites,2026-03-06,listed on the old site,effects,AP,"Heat waves that spark damaging droughts are happening more frequently, study finds",https://apnews.com/article/heat-wave-drought-climate-change-9248c65a135dc6ab3665cb8b2127d8e2
google-sites,2026-03-03,listed on the old site,effects,NYTimes,"A Crisis in the Alps: Airbnb, Climate Change and Americans",https://www.nytimes.com/2026/03/02/travel/french-alps-problems-overdevelopment-climate-change.html
google-sites,2026-03-03,listed on the old site,effects,TCD,Scientists issue warning about crisis that could impact Earth 'for centuries to come': 'Future depends on the choices that we make',https://www.thecooldown.com/outdoors/antarctic-peninsula-future-emissions-impact/
google-sites,2026-03-01,listed on the old site,effects,Phys.org,New computation method for climate extremes: Researchers reveal 10-fold increase in heat over Europe,https://phys.org/news/2026-02-method-climate-extremes-reveal-europe.html
google-sites,2026-02-28,listed on the old site,effects,ScienceDaily,A major climate hope in Antarctica just melted away,https://www.sciencedaily.com/releases/2026/02/260228082714.htm
google-sites,2026-02-27,listed on the old site,causes,Phys.org,"DOE climate report 'demonstrably incorrect', say scientists in new analysis",https://phys.org/news/2026-02-doe-climate-incorrect-scientists-analysis.html
google-sites,2026-02-27,listed on the old site,solutions,Euronrews,'The world remains unprepared': Why scientists are calling for a global assessment of climate change,https://www.euronews.com/2026/02/27/the-world-remains-unprepared-why-scientists-are-calling-for-a-global-assessment-of-climate
google-sites,2026-02-25,listed on the old site,effects,Guardian,"Chronic ocean heating fuels ‘staggering’ loss of marine life, study finds",https://www.theguardian.com/environment/2026/feb/25/chronic-ocean-heating-fuels-staggering-loss-marine-life-study
google-sites,2026-02-25,listed on the old site,effects,Reuters,Death toll from Brazil floods rises to 46; 21 people still missing,https://www.reuters.com/business/environment/death-toll-brazil-floods-rises-40-dozens-still-missing-2026-02-25/
google-sites,2026-02-21,listed on the old site,effects,InsideClimateNews,Health and Climate Consequences of EPA’s Endangerment Finding Repeal ‘Cannot Be Overstated’,https://insideclimatenews.org/news/21022026/epa-endangerment-finding-repeal-health-climate-consequences/
google-sites,2026-02-20,listed on the old site,other,Guardian,Injecting particulates into the atmosphere isn’t a magical fix for the climate crisis,https://www.theguardian.com/commentisfree/2026/feb/20/geoengineering-techno-fix-problems-climate-crisis?CMP=oth_b-aplnews_d-1
google-sites,2026-02-20,listed on the old site,effects,AP,Scientists change how El Nino is labeled to keep up with spike in temperature,https://apnews.com/article/el-nino-la-nina-climate-change-warming-e3499ef5e1081604770c4cf5f95910b3
google-sites,2026-02-20,listed on the old site,solutions,AP,"Trump administration eases limits on coal plants for emitting mercury, other toxins",https://apnews.com/article/trump-coal-zeldin-mercury-epa-emissions-b770d6efd05f19ed24b179511c726196
google-sites,2026-02-20,listed on the old site,effects,Gizmodo,"Worst-Case Climate Scenario Would Irreversibly Damage Antarctica, Scientists Warn",https://gizmodo.com/worst-case-climate-scenario-would-irreversibly-damage-antarctica-scientists-warn-2000724095
google-sites,2026-02-19,listed on the old site,other,Esquire,This Weird Effect of Climate Change Is Scaring the Hell Out of Me,https://www.esquire.com/news-politics/politics/a70415515/climate-change-microbes-nuclear-waste/
google-sites,2026-02-15,listed on the old site,effects,TCD,Concerning new study reveals 'creeping' winter crisis: 'You don't really realize it',https://www.thecooldown.com/outdoors/creeping-snow-drought-canadian-rockies-snowpack-study/
google-sites,2026-02-15,listed on the old site,other,Guardian,The Guardian view on Donald Trump and the climate crisis: the US is in reverse while China ploughs ahead,https://www.theguardian.com/commentisfree/2026/feb/15/the-guardian-view-on-donald-trump-and-the-climate-crisis-the-us-is-in-reverse-while-china-ploughs-ahead?CMP=oth_b-aplnews_d-1
google-sites,2026-02-13,listed on the old site,effects,Wired,"Record Low Snow in the West Will Mean Less Water, More Fire, and Political Chaos",https://www.wired.com/story/record-low-snow-in-the-west-will-mean-less-water-more-fire-and-political-chaos/
google-sites,2026-02-13,listed on the old site,effects,Atlantic,The Blind Spot at the Top of the World,https://www.theatlantic.com/science/2026/02/climate-science-arctic/685990/?utm_source=apple_news
google-sites,2026-02-12,listed on the old site,effects,Earth.com,Climate change in the US impacts each state differently,https://www.earth.com/news/climate-change-warming-in-the-us-impacts-each-state-differently/
google-sites,2026-02-12,listed on the old site,solutions,Fortune,The Trump administration calls its climate change policy shift the ‘largest deregulatory action’ in history—but experts say the impact will be limited,https://fortune.com/2026/02/12/repeal-landmark-climate-change-finding-limited-impacts-auto-power-wont-crank-co2-all-the-way-up/
google-sites,2026-02-12,listed on the old site,solutions,AP,Trump’s EPA revokes scientific finding that underpinned US fight against climate change,https://apnews.com/article/trump-climate-change-epa-clean-air-act-c149d5ea6ec71c862e6c4b578adf92cd
google-sites,2026-02-12,listed on the old site,solutions,CBS,"Trump's EPA revokes the ""endangerment finding"" on greenhouse gases, a major reversal in climate policy. Here's what to know",https://www.cbsnews.com/news/trump-epa-endangerment-finding-greenhouse-gases-climate-change/?ftag=CNM-00-10aac3a
google-sites,2026-02-12,listed on the old site,solutions,Vox,Trump just blew up a load-bearing pillar of climate regulation in the US. What happens now?,https://www.vox.com/climate/478950/epa-climate-endangerment-finding-trump-coal-fuel-economy
google-sites,2026-02-12,listed on the old site,other,TheConversation,"Trump says climate change doesn’t endanger public health – evidence shows it does, from extreme heat to mosquito-borne illnesses",https://theconversation.com/trump-says-climate-change-doesnt-endanger-public-health-evidence-shows-it-does-from-extreme-heat-to-mosquito-borne-illnesses-275619
google-sites,2026-02-11,listed on the old site,effects,Gizmodo,"As Patagonia Burns, the World May Lose Some of its Most Ancient Trees",https://gizmodo.com/as-patagonia-burns-the-world-may-lose-some-of-its-most-ancient-trees-2000720805
google-sites,2026-02-11,listed on the old site,effects,Guardian,"Point of no return: a hellish ‘hothouse Earth’ getting closer, scientists say",https://www.theguardian.com/environment/2026/feb/11/point-of-no-return-hothouse-earth-global-heating-climate-tipping-points?CMP=oth_b-aplnews_d-1
google-sites,2026-02-10,listed on the old site,solutions,Hill,EPA to repeal landmark finding that climate change endangers the public,https://thehill.com/policy/energy-environment/5731186-trump-epa-climate-change-endangerment-finding/
google-sites,2026-02-10,listed on the old site,causes,ProPublica,"Under GOP Pressure, Federal Agency Pulls Climate Change Chapter From Official Manual for U.S. Judges",https://www.propublica.org/article/federal-judicial-center-climate-change-republican-pressure
google-sites,2026-02-10,listed on the old site,causes,AP,US’s largest public utility says it now doesn’t want to close two coal-fired plants,https://apnews.com/article/tennessee-valley-authority-coal-plants-7a3bae83090e802a6036c1dcc37fa0a1
google-sites,2026-02-08,listed on the old site,effects,Conversation,Heat with no end: climate model sets out an unbearable future for parts of Africa,https://theconversation.com/heat-with-no-end-climate-model-sets-out-an-unbearable-future-for-parts-of-africa-274323
google-sites,2026-02-05,listed on the old site,effects,ABCNews,"Worsening snow drought in the West will have cascading impacts, experts say",https://abcnews.go.com/US/worsening-snow-drought-west-cascading-impacts-experts/story?id=129857902
google-sites,2026-02-02,listed on the old site,effects,NYTimes,"Deep Inside an Antarctic Glacier, a Mission Collapses at Its Final Step",https://www.nytimes.com/2026/02/02/climate/antarctica-thwaites-glacier-drilling.html
google-sites,2026-02-02,listed on the old site,effects,Reuters,Portugal counts multi‑billion‑euro damage after Storm Kristin tears off roofs,https://www.reuters.com/sustainability/climate-energy/portugal-counts-multibillioneuro-damage-after-storm-kristin-tears-off-roofs-2026-02-02/
